100000,"Раздел III УПРАВЛЕНИЯ ЛАГЕРЕЙ, ЛАГЕРНЫЕ ОТДЕЛЕНИЯ ЦЕНТРАЛЬНОГО ПОДЧИНЕНИЯ",,,,,,,,,,,,,,,,,
100001,"АВТОТРАНСПОРТНЫЙ ИТЛ ДАЛЬСТРОЯ (ИТЛ Упр. автотранспорта, Транслаг, Транспортное ЛО, ИТЛ Автотранспорта, Автотранспортный ИТЛ УСВИТЛа)",Время существования: организован не позднее 01.02.51 [1]1; закрыт 05.08.54 [2].,"Реорганизован: между 22.05.51 и 01.05.52 из ЛО в ИТЛ [3], {21. Л. 55}2.","Подчинен: ГУ ИТ лагерей Дальстроя в 1951–1952 гг. [1], {21. Л. 55}; УСВИТЛ в 1953–1954 гг. {21. Л. 667}, [2].","Дислокация: Магаданская обл., пос. Мякит {21. Л. 667, 733}.","Литер: АВ-4 {21. Л. 667, 733}.",Телегр. код: нет {21. Л. 667}.,"Адрес: Магаданская обл., пос. Мякит, п/я АВ-261/206 на 01.08.53 {21. Л. 733}; п/я АВ-261/46 на 11.12.53 {21. Л. 667}.","Производство: работа в цехах на участках автобаз, на Спорненском авторем. з-де3, стр-во в пос. Мякит, обслуживание угольных шахт Первомайского угольного р-на {21. Л. 55–70}.",Численность: 22.05.51 — 4316 [3]; 01.09.51 — 59274 [4]; 01.05.52 — 62655 {21. Л. 55–70}; 01.08.53 — 3643 {21. Л. 733}; 02.02.54 — 4433 {21. Л. 671}.,"Начальники: нач. — майор Абаев ?.?. (упом. 01.05.52) {21. Л. 70}; п/п инт.с. Карпов Б.Н., ? — по 15.07.52 [5]; инж.-майор Толкачев С.С., с 15.07.52 — ? [5]; майор Ершов ?.?. (упом. 01.08.53) {21. Л. 733}6.",Архив: ?,,Примечания: ,Источники: ,,с.с.,"61.407434, 152.090060"
,,,,,,,,,,,,,,"1 Еще до официального открытия лагеря, 29.04.44, нач. ""стр-ва Закавказского металлургического з-да и лагеря"" был назначен г/м инж.-тех. сл. А.Н.Комаровский [12], которого 25.05.44 сменил А.М.Волынский [8].",Пр. 0107 НКВД от 27.05.44. ,,,
,,,,,,,,,,,,,,,Пр. 00350 МВД от 24.04.46. ,,,
,,,,,,,,,,,,,,,Пр. 0187 НКВД от 07.07.45. ,,,
,,,,,,,,,,,,,,,Пр. 0122 НКВД от 17.05.45.  ,,,
,,,,,,,,,,,,,,,Пр. 0310 НКВД от 24.12.45. ,,,
,,,,,,,,,,,,,,,Пр-ние 137 НКВД от 22.06.45. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 80. Л. 6. ,,,
,,,,,,,,,,,,,,,Пр. 776лс НКВД от 25.05.44. ,,,
,,,,,,,,,,,,,,,Пр. 326лс НКВД от 14.04.45. ,,,
,,,,,,,,,,,,,,,Пр. 00819 НКВД от 14.07.44. ,,,
,,,,,,,,,,,,,,,Пр. 00789 НКВД от 07.07.45. ,,,
,,,,,,,,,,,,,,,Пр. 632лс НКВД от 29.04.44.,,,
100151,ИТЛ И СТРОИТЕЛЬСТВО КАЗАНСКОГО НЕФТЕПЕРЕРАБАТЫВАЮЩЕГО ЗАВОДА (Казаньнефтестрой),Время существования: организован 04.08.52 [1]1; закрыт 29.04.53 {35}.,,Подчинен: ГСНС [1].,"Дислокация: Татарская АССР, г.Казань [1].",Литер: ИР с 04.08.52 [1].,Телегр. код: ?,Адрес: ?,Производство: стр-во Казанского нефтеперерабатывающего з-да [1].,Численность: на март 1953 г. намечено завезти 500 з/к [2].,"Начальники: и.о. нач. — инж.-полк. в/с Терешатов И.Г., с 02.03.53 — ? [2].",Архив: В 1-м Спецотделе МВД Тататарской АССР (л/д офицерского состава); в ОИТК МВД Татарской АССР (материалы делопроизводства); в Центр. ГА Татарской АССР (л/д вольнонаемных) {1}.,,Примечание: ,Источники: ,,С.С.,
,,,,,,,,,,,,,,"1 По-видимому, ИТЛ либо вообще фактически не был организован, либо был открыт после 02.03.53, когда было приказано ""приступить к организации ИТЛ, обеспечить организацию лагеря и прием в марте 500 человек спецконтингента"" [2].",Пр. 00571 МВД от 04.08.52. ,,,
,,,,,,,,,,,,,,,Пр. 0243 МВД от 02.03.53.,,,
100152,ИТЛ И СТРОИТЕЛЬСТВО КОМБИНАТА № 7,Время существования: организован 15.08.46 [1]1; закрыт 23.08.47 (переименован в СТРОИТЕЛЬСТВО 907 И ИТЛ) [2].,,Подчинен: ГУЛПС [1–3].,"Дислокация: Эстонская ССР, г.Усть-Нарва (ныне Нарва-Йыэсуу) {17}.",Литер: БО с 20.02.47 [4].,"Телегр. код: ""Энергия"" {17}.","Адрес: Эстонская ССР, г.Усть-Нарва, п/я 1 {17}.","Производство: обслуживание стр-ва комб. № 7 1-го ГУ при СМ СССР [1, 5], горнопроходческие работы [6].","Численность: 01.11.46 — 6596, 01.01.47 — 10 151, 01.08.47 — 9290 (УРО)2.","Начальники: нач. — г/м инж.-тех. сл. Царевский М.М., с 08.03.47 по 12.07.47 [7, 8]3; з/н — г/л Сергиенко В.Т., с 17.12.46 — ? [9].",Архив: В архиве СТРОИТЕЛЬСТВА 447 И ИТЛ {1}; в ОИТК МВД Эстонской ССР {2}.,,Примечания: ,Источники: ,"См. также: СТРОИТЕЛЬСТВО 447 И ИТЛ, СТРОИТЕЛЬСТВО 907 И ИТЛ.",С.С.,"59.446946, 28.033438"
,,,,,,,,,,,,,,"1 При организации Упр. Стр-ва и ИТЛ приказано передать Главпромстрою ""эстонцев, латышей, литовцев призывного возраста, служивших в немецкой армии"", 10 000 чел. [1]. ",Пр. 00775 МВД от 15.08.46. ,,,
,,,,,,,,,,,,,,2 Стр-во обслуживали также ВСЧ [10]. ,Пр. 00890 МВД от 23.08.47. ,,,
,,,,,,,,,,,,,,"3 Фактически вступил в должность ранее, так как упом. 04.01.47 [5].",Пр. 00431 МВД от 18.04.47. ,,,
,,,,,,,,,,,,,,,Пр. 00163 МВД от 20.02.47.  ,,,
,,,,,,,,,,,,,,,Пр. 05 МВД от 04.01.47. ,,,
,,,,,,,,,,,,,,,Расп. 409 МВД от 30.06.47. ,,,
,,,,,,,,,,,,,,,Пр. 946лс МВД от 12.07.47. ,,,
,,,,,,,,,,,,,,,Пр. 322лс МВД от 08.03.47. ,,,
,,,,,,,,,,,,,,,Пр. 1746лс МВД от 17.12.46. ,,,
,,,,,,,,,,,,,,,Пр. 00930 МВД от 15.10.46.,,,
100153,"ИТЛ И СТРОИТЕЛЬСТВО МСТИНСКИХ ГЭС (Мстинстрой, Боровичевский ИТЛ)",Время существования: организован 24.02.41 [1]1; закрыт 28.06.41 {12} и 16.07.41 [2]2.,,Подчинен: ГУЛГТС с 24.02.41 [1].,"Дислокация: Ленинградская (ныне Новгородская) обл., г.Боровичи [1].",Литер: нет.,Телегр. код: нет.,"Адрес: Ленинградская обл., г.Боровичи, п/я 2 {1}.","Производство: стр-во Боровичевского, Ивановского и Чернецкого гидроузлов [1].","Численность: 01.04.41 — 18 381, 15.06.41 — 19 858 [3].","Начальники: нач. — кап. ГБ Афанасьев Г.Д., с 24.02.41 — ? [1]3.","Архив: 1956 г. — в УИТЛК УМВД по Ярославской обл.: л/д з/к — 13 113; в ГА Новгородской обл.4: л/д и служебные карточки вольнонаемных, пр. по Упр. — 16 {1}. 1996 г. — в ИЦ УВД Новгородской обл.: приказы по Упр. лагеря и по Упр. стр-ва Боровичевской ГЭС, штатные расписания, приказы по л.с., списки сотрудников, служебные карточки [4].",,Примечания: ,Источники: ,"См. также: ИТЛ И 10-е ПОЛЕВОЕ СТРОИТЕЛЬСТВО НКВД, ИТЛ И СТРОИТЕЛЬСТВО БОРОВИЧЕВСКОЙ ГЭС.",С.Ф.,"58.388219, 33.914025"
,,,,,,,,,,,,,,1 В состав новообразованного ИТЛ вошло расформированное Упр. ИТЛ И СТРОИТЕЛЬСТВА БОРОВИЧЕВСКОЙ ГЭС [1]. ,Пр. 0101 НКВД от 24.02.41. ,,,
,,,,,,,,,,,,,,"2 Первым пр. предписано приостановить стр-во с 01.07.41; вторым — ""обратить весь состав Боровичевского ИТЛ на комплектование рабочей силой 10-го Упр. стр-ва при Оборонстрое"". ",Пр. 0335 НКВД от 16.07.41. ,,,
,,,,,,,,,,,,,,3 По совместительству — нач. ЛУЖСКОГО ИТЛ И СТРОИТЕЛЬСТВА 200 [1]. ,"ГАРФ. Ф.9414. Оп. 1д. Д. 371. Л.30, 56. ",,,
,,,,,,,,,,,,,,"4 Возможно, объединен с архивом ИТЛ И СТРОИТЕЛЬСТВА БОРОВИЧЕВСКОЙ ГЭС.",Письмо ИЦ УВД Новгородской обл. № 3/2970 от 23.09.96.,,,
100154,ИТЛ И СТРОИТЕЛЬСТВО ОСОБОГО РАЙОНА (Стройлаг),Время существования: организован 17.01.52 [1]; закрыт 29.04.53 {35}.,,Подчинен: ГСНС с 17.01.52 [1]; ГУЛПС с 04.10.52 [2]; ГУЛАГ МЮ с 02.04.53 {33}.,"Дислокация: г.Москва, Ленинские горы {22}.",Литер: ЖМ с 24.06.52 [3].,"Телегр. код: ""Нефть"" {22}.","Адрес: Москва, п/я 3278 {1}; Москва 36, п/я ЖМ-3278 {22}.","Производство: стр-во зданий физического, химического, биолого-почвенного ф-тов МГУ, обслуживание Васильевского карьера в Калужской обл. (до 26.04.52) [4], стр-во ин-та Геохимии (им. Вернадского) АН СССР, ФИАН, з-да 528 МПСС, гидротехнической лаборатории АН, ин-та им. Карпова, Научно-исследовательского вакуумного ин-та, зданий на Миусской пл., д.3, на проезде Владимирова, зданий Гознака на Мытной ул. (с 15.11.52, переданы из ликвидируемого СТРОИТЕЛЬСТВА 560 И ИТЛ) [5, 6], отделочные работы на 24–30 этажах гл. здания МГУ, работы на Карачаровском мех. з-де в Москве, стр-во жилых домов на Остаповском шоссе в Текстильщиках1 [7. Разд. 3. Л. 2–12], обслуживание ДОК, сапожных и портновских мастерских [6].",Численность: 01.07.52 — 9372; 01.01.53 — 14 290; 01.04.53 — 13 533; 01.05.53 — 4278 (УРО); 01.05.52 — 98182 [7. Разд. 3. Л. 1об.–11об.].,"Начальники: нач. — майор (п/п) Архангельский А.А., с 01.02.52 по 01.04.53 [8], [7. Разд. 1. Л. 2об.]; и.о. нач. — майор Покровский Г.П., с 01.04.53 по 29.04.533 [9, 10]; з/н — кап. (майор) Покровский Г.П., ? — по 01.04.53 [7. Разд. 1. Л. 2об.].","Архив: В УИТЛК УМВД по Московской обл. {1, 2}.",,Примечания: ,Источники: ,"См. также: СТРОИТЕЛЬСТВО 560 И ИТЛ, СТРОИТЕЛЬСТВО 565 И ИТЛ.",С.С.,"55.701836, 37.550214 "
,,,,,,,,,,,,,,1 Р.п. Текстильщики позднее включен в состав г.Москвы. ,Пр. 051 МВД от 17.01.52. ,,,
,,,,,,,,,,,,,,2 Из них 1845 женщин. ,Пр. 1305 МВД от 04.10.52.  ,,,
,,,,,,,,,,,,,,"3 Формально освобожден от должности (""по выслуге срока"") 31.10.53 [10].",Пр. 00462 МВД от 24.06.52. ,,,
,,,,,,,,,,,,,,,Пр. 0606 МВД от 26.04.52. ,,,
,,,,,,,,,,,,,,,Пр. 00812 МВД от 01.11.52. ,,,
,,,,,,,,,,,,,,,"ГАРФ. Ф. 9414. Оп. 1. Д. 178. Л. 10, 27. ",,,
,,,,,,,,,,,,,,,Там же. Оп. 1д. Д. 275. ,,,
,,,,,,,,,,,,,,,Пр. 181лс МВД от 01.02.52. ,,,
,,,,,,,,,,,,,,,Пр. 021/л МЮ от 01.04.53. ,,,
,,,,,,,,,,,,,,,Пр.1206/лг МЮ от 31.10.53.,,,
100155,ИТЛ И СТРОИТЕЛЬСТВО ОТДЕЛЬНОГО ДМИТРОВСКОГО РАЙОНА ГУЛАГА,Время существования: организован 31.01.38 [1]1; закрыт 09.09.38 [2]2.,,Подчинен: ГУЛАГ [1].,Дислокация: ?3,Литер: нет.,Телегр. код: нет.,Адрес: ?,"Производство: выполнение оставшихся недоделок по каналу Москва—Волга, предоставление рабочей силы Наркомводу (для эксплуатации и текущего ремонта канала), стр-ву стадиона ""Динамо"" в Москве, дома НКВД в г.Химки [1, 3].",Численность: ?,"Начальники: нач. — Лисица Д.И., с 31.01.38 — ? [1].",Архив: ГАРФ. Ф. 9489.,,Примечания: ,Источники: ,"См. также: ДМИТРОВСКИЙ ИТЛ, ИТЛ ДМИТРОВСКОГО МЕХАНИЧЕСКОГО ЗАВОДА.",С.К.,
,,,,,,,,,,,,,,"1 Реорг. из ДМИТРОВСКОГО ИТЛ; в составе Отдельного Дмитровского р-на образованы следующие участки: Волжский, Яхромской, Икшанский, Химкинский, Перервинский, Хорошевский, Дмитровский, Мехзаводской, Омутнянский. ",Пр. 013 НКВД от 31.01.38. ,,,
,,,,,,,,,,,,,,"2 Из пр. нач. ГУЛАГа № 136 от 09.09.38: ""Отдельный Дмитровский р-н ГУЛАГа ликвидировать; организовать отдельный лаг. участок при мехзаводе ГУЛАГа в г.Дмитрове"" [2]. ",ГАРФ. Ф. 9414. Оп. 1. Д. 12. Л. 212. ,,,
,,,,,,,,,,,,,,"3 Предположительно — Московская обл., г.Дмитров (как преемник ДМИТРОВСКОГО ИТЛ).",Там же. Ф. 9489. Оп. 2. Д. 119. Л. 350.,,,
100156,"ИТЛ И СТРОИТЕЛЬСТВО ПО РЕКОНСТРУКЦИИ ШЛЮЗА И ПЛОТИНЫ ""ЗНАМЕНИТАЯ"" (Знаменитстрой)",Время существования: организован 11.10.40 [1]1; закрыт 28.06.41 {12}; вновь открыт 23.07.43 [2]; окончательно закрыт между 01.05.44 и 01.07.44 [3].,,"Подчинен: ГУЛГТС с 11.10.40 [1, 4]; ГУЛПС с 23.07.43 [2].","Дислокация: Вологодская обл., Сокольский р-н, д. Шера [4–6], {14}.",Литер: нет {14}.,Телегр. код: нет {14}.,"Адрес: Вологодская обл., Сокольский р-н, д. Шера, п/я 292 [5, 6], {14}.","Производство: реконструкция шлюза и плотины ""Знаменитая"" на р.Сухоне, входящих в систему Волго-Балтийского и Северо-Двинского водного пути [1, 2].","Численность: 01.01.44 — 423, 01.04.44 — 475, за июль — прочерк [3].","Начальники: нач. — Квесис К.К., с 11.10.40 — ? [1]; он же, с 23.07.43 — не позднее 18.05.44 [2, 7].","Архив: Был передан в УИТЛК УМВД по Вологодской обл.; впоследствии материалы уничтожены. Нет материалов и в 1-м Спецотделе УМВД по Вологодской обл., в отделе кадров УИТЛК УМВД по Вологодской обл. и в ГА Вологодской обл. {1}.",,Примечание: ,Источники: ,См. также: ПОНЫШСКИЙ ИТЛ.,С.С.,"59.512429, 39.865588"
,,,,,,,,,,,,,,"1 Не исключено, что фактически ИТЛ не открывался — в сводках УРО за 1940–1941 гг. он не упомянут.",Пр. 0440 НКВД от 11.10.40. ,,,
,,,,,,,,,,,,,,,Пр. 0293 НКВД от 23.07.43. ,,,
,,,,,,,,,,,,,,,"ГАРФ. Ф.9414. Оп.1. Д.1155. Л.55об., 56. ",,,
,,,,,,,,,,,,,,,Пр. 00145 НКВД от 07.02.41. ,,,
,,,,,,,,,,,,,,,Пр. 00176 НКВД от 19.02.41. ,,,
,,,,,,,,,,,,,,,Пр. 001483 НКВД от 04.09.43. ,,,
,,,,,,,,,,,,,,,Пр. 229 НКВД от 18.05.44.,,,
100157,  ИТЛ И СТРОИТЕЛЬСТВО СОВХОЗОВ И ЗЕРНОСКЛАДОВ (Атбасарский ИТЛ),Время существования: организован 10.02.55 [1]1; закрыт не ранее 06.09.56 [2].,,Подчинен: УИТЛК МВД Казахской ССР [1].,Дислокация: ?2,Литер: ?,Телегр. код: ?,Адрес: ?,"Производство: стр-во совхозов на целинных и залежных землях в Казахской ССР [1, 3].",Численность: ?,"Начальники: нач. — инж.-майор (инж.-п/п в/с) Суворов А.К., с 17.02.55 — ? (упом. 26.04.55 и 26.05.55) [3–5].",Архив: ?,,Примечания: ,Источники: ,,С.К.,"51.815755, 68.358326"
,,,,,,,,,,,,,,"1 Пр. [1] — организовать ИТЛ и стр-во совхозов и зерноскладов. Вскоре, по-видимому, ИТЛ получил наименование Атбасарский (в пр. [2] А.К.Суворов упом. как нач. УИТЛ и стр-ва совхозов, в пр. [3] — как нач. Атбасарского ИТЛ). ",Пр. 0071 МВД от 10.02.55. ,,,
,,,,,,,,,,,,,,"2 Возможно, Упр. ИТЛ дислоцировалось в Атбасаре (Акмолинская обл.) — см. название.",Пр. 00307 МВД от 06.09.56. ,,,
,,,,,,,,,,,,,,,Пр. 337 МВД от 26.04.55. ,,,
,,,,,,,,,,,,,,,Пр. 425 МВД от 26.05.55.  ,,,
,,,,,,,,,,,,,,,Пр. 219лс МВД от 17.02.55.,,,
100158,ИТЛ И СТРОИТЕЛЬСТВО СТАЛИНСКОЙ НАСОСНОЙ СТАНЦИИ,Время существования: организован 05.07.37 [1]; закрыт 29.06.39 [2]1.,,Подчинен: ГУЛАГ [3].,"Дислокация: Московская обл., с.Щитниково [4].",Литер: нет.,Телегр. код: нет.,Адрес: ?,"Производство: стр-во Сталинской водонасосной станции2 [3, 5], стр-во Всесоюзной с/х выставки в Москве3 [5].","Численность: 01.10.37 — 10 706, 01.01.38 — 7001, 01.07.38 — 96014, 01.01.39 — 2727, 01.01.40 — 1726 (УРО).","Начальники: нач. — Усиевич А.А., с 05.07.37 по 22.08.39 [6], и.о. нач. — Явиц И.Б., не позднее 17.01.39 — по 10.09.39 [7, 4]5.",Архив: ГАРФ. Ф. 9489.,,Примечания: ,Источники: ,См. также: ДМИТРОВСКИЙ ИТЛ.,С.К.,"55.819166, 37.867017"
,,,,,,,,,,,,,,"1 По окончании стр-ва Сталинская водонасосная станция сдана для эксплуатации тресту ""Мосводопровод"" (акт подписан 25.01.39 [5]); УС ликвидировано пр. [2] (ликвидком УС распущен пр. 21 по УС от 10.09.39 [4]); з/к оставались на стр-ве до конца года (последнее упом. ИТЛ в сводках УРО — 01.01.40). ",Пр. 91 НКВД от 05.07.37. ,,,
,,,,,,,,,,,,,,"2 Станция предназначалась для питания водой восточных и юго-восточных р-нов Москвы; ее стр-во осуществлялось за счет лимитов Моссовета по утвержденным титульным спискам ""Мосводопровода""; пост. Президиума Моссовета мощность станции была утверждена в 60 млн ведер в сутки (738 000 куб. м) [8, 5]. ",Пр. 391 НКВД от 29.06.39.  ,,,
,,,,,,,,,,,,,,"3 Стр-во Всесоюзной с/х выставки передано НКВД СССР в мае 1938 г. ""для повседневного руководства стр-вом и оказания ему необходимой помощи в очень короткий остающийся срок""; ранее стр-во осуществлял НКЗ СССР [5]. ",Пр-ние 45 ГУЛАГа НКВД от 17.08.37. ,,,
,,,,,,,,,,,,,,"4 На 01.10.38 — 8310, из них 7 осужденных за к/р преступления, 1595 — как СОЭ и СВЭ [9]. ",ГАРФ. Ф. 9489. Оп. 2. Д. 138. Л. 45. ,,,
,,,,,,,,,,,,,,"5 В 1938–1939 гг. И.Б.Явиц занимал должность зам. нач. Стр-ва [4], окончание нахождения А.А.Усиевича в должности нач. датируется по последнему подписанному им пр. по УС [7].",Там же. Оп. 1. Д. 38. Л. 1–82. ,,,
,,,,,,,,,,,,,,,Там же. Служебная карточка ГУЛАГа. ,,,
,,,,,,,,,,,,,,,"Там же. Ф. 9489. Д. 135. Л. 1, 25. ",,,
,,,,,,,,,,,,,,,Там же. Ф. 9414. Оп. 1. Д. 2930. Л. 7. ,,,
,,,,,,,,,,,,,,,Там же. Д. 1140. Л. 141.,,,
100159,"   ИТЛ И СТРОИТЕЛЬСТВО ХИМКИНСКОГО РАЙОНА ГУЛАГА (Химкинский ИТЛ, Химлаг)",Время существования: организован 29.06.39 [1]1; закрыт 11.07.41 [2]2.,,Подчинен: ГУЛАГ с 29.06.39 [1]; ГУЛПС с 26.02.41 [3; 4. Л. 10].,"Дислокация: г.Москва, Ленинградское шоссе, с.Никольское {11}; Московская обл. {1}.",Литер: нет {11}.,Телегр. код: нет {11}.,"Адрес: г.Москва, Ленинградское шоссе, с.Никольское, п/я 3402 {11}.","Производство: стр-во Лихоборского канала, дома Наркомвода, опытной гидростанции на р. Сходня [5], Южной гавани с 01.03.40 [6], з-да 82 [7], жилых домов з-да 82 [8], з-да сухой штукатурки [9], обслуживание бетонного з-да и лесозавода [10], стр-во и обслуживание Бескудниковской базы московской конторы Упр. тех. снабжения строек и лагерей НКВД [11].","Численность: 01.01.40 — 2623, 01.07.40 — 2719 (УРО), 01.01.41 — 4468, 01.07.41 — 5424 [4. Л. 2, 55].","Начальники: нач. — Маневич Л.Г., не позднее 28.02.40 — не ранее 30.06.41 [7, 12]3; з/н — Васильев ?.?., ? — по 11.07.41 [2].","Архив: В УИТЛК МВД Татарской АССР: л/д з/к — 865, л/д и картотека вольнонаемных, материалы делопроизводства {1, 2}.",,Примечания: ,Источники: ,"См. также: БЕСКУДНИКОВСКОЕ СПЕЦИАЛЬНОЕ ЛО, ИТЛ И СТРОИТЕЛЬСТВО ЮГО-ВОСТОЧНОЙ ГАВАНИ, ХИМКИНСКИЙ ОЛП.",С.С.,"56.056639, 37.186363"
,,,,,,,,,,,,,,"1 05.08.38 в составе ИТЛ И СТРОИТЕЛЬСТВА ЮГО-ВОСТОЧНОЙ ГАВАНИ организован Химкинский р-н [5], который 29.06.39 выделен в самостоятельный ИТЛ [1]. Сведения об организации ИТЛ в {1} неточны. ",Пр. 394 НКВД от 29.06.39. ,,,
,,,,,,,,,,,,,,"2 Согласно [2], Упр. Химкинского лагеря со всем лаг. аппаратом и ""контингентом"" з/к переводится в г.Казань и передается в распоряжение стр-ва з-да № 27 НКАП. Позднее Химкинский ИТЛ не упом. ",Пр. 0329 НКВД от 11.07.41. ,,,
,,,,,,,,,,,,,,"3 По-видимому, Л.Г.Маневич был нач. ИТЛ с открытия, так как он же занимал должность нач. Химкинского р-на с момента его организации [5].",Пр. 00212 НКВД от 26.02.41. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1д. Д. 371. ,,,
,,,,,,,,,,,,,,,Пр. 415 НКВД от 05.08.38. ,,,
,,,,,,,,,,,,,,,Пр. 132 НКВД от 29.02.40.  ,,,
,,,,,,,,,,,,,,,Пр. 130 НКВД от 28.02.40. ,,,
,,,,,,,,,,,,,,,Пр. 00643 НКВД от 25.05.40. ,,,
,,,,,,,,,,,,,,,Пр. 0493 НКВД от 22.11.40. ,,,
,,,,,,,,,,,,,,,Пр. 067 НКВД от 07.02.41. ,,,
,,,,,,,,,,,,,,,Пр. 27 НКВД от 02.04.41. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 45. Л. 73.,,,
100160,ИТЛ И СТРОИТЕЛЬСТВО ЮГО-ВОСТОЧНОЙ ГАВАНИ (ИТЛ Строительства Южной гавани),Время существования: организован 05.07.37 [1]1; закрыт 29.02.40 [2]2.,,"Подчинен: ГУЛАГ [1, 2].","Дислокация: с.Кожухово Пролетарского р-на г.Москвы {10}, г.Москва, с.Кожухово [3].",Литер: нет.,Телегр. код: нет.,"Адрес: г.Москва, п/я 3773 {1}; с.Кожухово Пролетарского р-на г.Москвы, 89 п/о, п/я 3773 {10}.","Производство: стр-во Южной Гавани в Москве [3, 4]3.","Численность: 01.10.37 — 3301, 01.01.38 — 4303, 01.10.38 — 58454, 01.01.39 — 4376 (УРО).","Начальники: нач. — Эйдук А.В., с 05.07.37 по 04.06.38 [5, 6]5; мл. лейт. ГБ Колесниченко В.А., с 04.06.38 — ? [6]; Трофименко В.П., с 03.01.39 по 29.02.40 [7, 2].","Архив: Материалы уничтожены во время войны, кроме документов Химкинского р-на, входившего в этот ИТЛ, переданных в фонд ИТЛ И СТРОИТЕЛЬСТВА ХИМКИНСКОГО РАЙОНА ГУЛАГА {1}.",,Примечания: ,Источники: ,См. также: ИТЛ И СТРОИТЕЛЬСТВО ХИМКИНСКОГО РАЙОНА ГУЛАГА.,С.К.,"55.701994, 37.679121"
,,,,,,,,,,,,,,1 Стр-во начато согласно Пост. СНК СССР № 254 от 15.02.37 [3]. ,Пр. 91 НКВД от 05.07.37. ,,,
,,,,,,,,,,,,,,"2 Приказано Упр. ИТЛ и СТРОИТЕЛЬСТВА ЮГО-ВОСТОЧНОЙ ГАВАНИ ликвидировать с 01.03.40, само Стр-во передать Упр. Стр-ва Химкинского р-на ГУЛАГа [2] (в сводках УРО ГУЛАГа сведений о численности з/к нет с 01.01.40). ",Пр. 132 НКВД от 29.02.40.  ,,,
,,,,,,,,,,,,,,"3 Южная (то же — Юго-Восточная) гавань — часть Московского порта и предназначена для грузов, поступающих с нижнего течения р. Москвы, Оки и Волги. [3]. ",ГАРФ. Ф. 9414. Оп. 1. Д. 30. Л. 34–35. ,,,
,,,,,,,,,,,,,,"4 Из них 1 осужденный за к/р преступления, 795 — как СОЭ и СВЭ [8]. ",Пр. 130 НКВД от 28.02.40.  ,,,
,,,,,,,,,,,,,,"5 Согласно [9], арестован в 1938 г.",ГАРФ. Служебная карточка ГУЛАГа. ,,,
,,,,,,,,,,,,,,,Пр. 1389лс НКВД от 04.06.38.  ,,,
,,,,,,,,,,,,,,,Пр. 52лс НКВД от 03.01.39. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1. Д. 1140. Л. 141. ,,,
,,,,,,,,,,,,,,,ЦА ФСБ. Ф. 3ос. Оп. 6. Д. 13. Л. 214.,,,
100161,"ИТЛ ""ИН"" (ИТЛ и СМУ п/я 32, ИТЛ СМУ 50)",Время существования: организован 15.01.52 [1]; закрыт 29.04.53 {35}.,,"Подчинен: ГУЛПС, в составе СТРОИТЕЛЬСТВА 565 И ИТЛ с 15.01.52 [1]; ГУЛАГ МЮ с 02.04.53 {33}.","Дислокация: ст. Тучково Западной ж.д. (Московская обл.) [1], {22}.","Литер: ИН с 15.01.52 [1], {22}.","Телегр. код: ""Голубь"" {22}.","Адрес: ст. Тучково Западной ж.д., п/я 32 [2. Л. 2]; п/я ИН-32 {22}.","Производство: спецстройка [2. Л. 2], стр-во ж/д ветки, временных жилпоселков, производственных мастерских, перевалочной базы [3], ЛЭП, электроподстанций [4].",Численность: 21.02.52 — 36331 [5].,"Начальники: нач. — Пономарев П.К., с 15.01.52 — не ранее 03.02.53 [1, 6]; з/н — майор Пугачев ?.?. (упом. 21.02.52) [5]; майор (п/п в/с) Баранов В.П., с 25.10.52 — ? [7].",Архив: ?,,Примечание: ,Источники: ,См. также: СТРОИТЕЛЬСТВО 565 И ИТЛ.,С.С.,"55.597403, 36.468726"
,,,,,,,,,,,,,,1 Из них 18 осужденных за к/р преступления [5].,Пр. 00112 МВД от 15.01.52. ,,,
,,,,,,,,,,,,,,,ГАРФ. Ф. 9414. Оп. 1д. Д. 314. ,,,
,,,,,,,,,,,,,,,Пр. 00807 МВД от 13.10.52. ,,,
,,,,,,,,,,,,,,,Пр. 00188 МВД от 08.09.52.  ,,,
,,,,,,,,,,,,,,,"ГАРФ. Ф.9414. Оп.1. Д.658. Л.220, 228. ",,,
,,,,,,,,,,,,,,,Пр. 001026 МВД от 03.02.53. ,,,
,,,,,,,,,,,,,,,Пр. 0160лс МВД от 25.10.52.,,,
